;AAL;ACB;AMD;BA;GD;GOOG;LMT;MU;NOC;NRT;RTN;USO;ZN;^GSPC;Words
137;1,82395;3,77182;2,49158;1,31929;0,97747;1,02617;0,88891;2,24579;1,11139;1,47509;0,97989;1,43055;5,33971;0,62218;see
138;1,64985;3,56589;2,31042;1,32995;0,91792;0,91728;0,89967;1,9301;1,11928;1,61226;0,96122;1,49217;4,5007;0,49975;hunt
139;1,58953;3,95383;2,30913;1,27368;0,81004;0,96191;0,84377;2,15197;1,1291;1,57925;0,93412;1,4156;4,96695;0,53249;how
140;1,98941;3,92737;2,44281;1,46767;0,96138;1,08182;0,90445;2,19436;1,22671;1,54075;1,07608;1,49263;4,87809;0,6237;way
141;1,78593;3,84828;2,81583;1,49343;0,95563;1,01862;0,93142;2,29668;1,17578;1,45548;1,06663;1,36291;4,61431;0,61981;republican
142;1,63846;3,87379;2,42542;1,30326;0,87997;0,89667;0,78178;1,9821;0,98152;1,59126;0,92547;1,31377;4,76645;0,47487;history
143;1,64061;3,49264;2,62782;1,29551;0,97855;0,96811;0,90612;2,01888;1,11365;1,52961;1,04506;1,36508;3,84054;0,53631;win
144;1,73917;3,7826;2,49831;1,2866;0,9282;1,1532;0,87935;2,38392;1,15974;1,4951;1,05876;1,30881;6,19254;0,58989;know
145;1,66215;4,06288;2,45147;1,31395;0,90985;1,00166;0,81283;2,05703;1,07436;1,52935;0,97549;1,25666;4,7432;0,57113;election
146;1,72489;3,37814;2,31592;1,57703;1,04913;1,02393;0,9096;2,20105;1,21912;1,43333;1,0779;1,25121;4,1556;0,69315;congress
147;2,14668;3,80656;2,52285;1,5507;1,06775;1,07926;1,12613;2,09802;1,21207;1,47499;1,12295;1,35257;5,58891;0,62392;fbi
148;1,80999;3,83821;2,54892;1,37028;1,11709;1,09793;1,01028;2,43903;1,1786;1,51083;0,99528;1,29032;4,07914;0,70723;also
149;1,65889;3,24675;2,56947;1,47159;0,95179;0,94067;0,91782;1,9743;1,11375;1,56611;0,99967;1,36155;5,31661;0,55607;collusion
150;1,66621;4,65461;2,72245;1,45245;1,04808;1,01899;0,90572;1,94573;1,06824;1,46101;0,9305;1,14577;3,91049;0,61909;jobs
151;1,83673;4,36537;2,66208;1,5397;1,09069;1,17306;0,9921;2,4165;1,23964;1,50638;1,12371;1,39191;4,97141;0,66493;strong
152;1,88147;3,30211;2,65688;1,32873;1,07716;1,12949;1,01679;2,0338;1,18729;1,68135;1,0992;1,60256;4,71967;0,67338;against
153;1,60826;3,94853;2,20198;1,31149;0,76348;0,9389;0,75192;1,93765;0,93217;1,75667;0,85035;1,32823;5,32518;0,48138;she
154;1,78367;3,89401;2,57296;1,39065;0,96964;1,03529;1,01681;2,07863;1,18612;1,74574;1,07544;1,47816;4,32152;0,65844;go
155;1,68859;3,42743;2,18542;1,27133;0,94292;0,97682;0,93117;2,14466;1,08895;1,59339;1,05582;1,19029;5,12568;0,58925;before
156;1,85491;3,34213;2,42411;1,45044;0,97777;1,12857;0,86302;2,27941;1,06467;1,5966;0,9282;1,45104;4,112;0,64017;most
157;1,97358;4,07708;2,70608;1,56718;1,05528;1,15877;1,07883;2,31715;1,32474;1,53029;1,10494;1,43307;4,1309;0,68952;security
158;1,80465;3,70835;2,51518;1,49951;1,1339;1,10665;1,00715;2,08869;1,28218;1,51063;1,12373;1,32906;4,57999;0,68331;republicans
159;1,72412;3,69265;2,75999;1,54211;0,95076;1,11751;1,00254;2,5299;1,21151;1,69805;1,15674;1,43436;4,47145;0,64069;work
160;1,90564;3,52382;2,66214;1,43207;1,05781;1,13058;1,04518;2,08792;1,22205;1,65034;1,13934;1,59814;4,38543;0,63281;world
161;1,74279;4,32747;2,81068;1,56547;1,00394;1,01122;0,95234;2,47167;1,18254;1,66886;1,10557;1,455;4,54765;0,63318;any
162;1,77451;3,55158;2,56959;1,41709;0,97998;1,10022;0,91478;2,08718;1,08528;1,56991;0,98537;1,32969;5,63326;0,6067;her
163;1,65767;3,22961;2,4556;1,32465;1,02712;1,15658;0,9329;2,052;1,20572;1,48132;1,0555;1,32772;4,09314;0,6169;economy
164;1,60085;3,70188;2,63289;1,56415;0,94556;1,06597;0,92259;2,26463;1,1213;1,46848;0,9216;1,30535;4,54602;0,68263;democrat
165;1,80053;3,86824;2,52174;1,3428;1,03451;1,06334;0,80743;2,34774;1,01365;1,50662;0,95006;1,44774;3,917;0,60757;working
166;1,84159;3,84294;2,98625;1,43877;1,02804;1,2805;0,87686;2,36069;1,08992;1,60124;1,0396;1,50928;4,23842;0,72898;two
